Designator,Mid X,Mid Y,Rotation,Layer
12V,114.5,-104.4,180.0,top
3V3_2,116.835,-73.15,0.0,top
BOOT,133.6,-91.3,0.0,top
C1,130.2,-99.9,0.0,top
C10,125.32,-92.3,0.0,top
C11,119.72,-102.3,180.0,top
C12,127.6,-100.9,180.0,top
C13,121.55,-104.52,90.0,top
C14,125.45,-104.38,270.0,top
C15,141.68,-123.0,0.0,top
C16,139.0,-123.0,180.0,top
C17,130.33,-126.2,180.0,top
C18,104.425,-84.1,180.0,top
C19,104.425,-81.6,180.0,top
C2,129.8,-96.58,90.0,top
C20,103.0,-119.78,90.0,top
C21,132.2,-105.11,270.0,top
C22,109.1,-119.98,270.0,top
C23,127.1,-90.38,90.0,top
C24,117.98,-79.0,0.0,bottom
C25,118.75,-89.48,90.0,bottom
C26,117.75,-89.52,90.0,bottom
C29,113.328,-90.86,90.0,top
C3,130.9,-96.81,90.0,top
C30,111.2,-99.56,270.0,top
C31,113.8,-99.58,270.0,top
C32,113.328,-92.76,90.0,top
C33,112.75,-99.55,270.0,top
C34,114.8,-99.58,270.0,top
C35,135.6,-103.0,180.0,top
C36,135.575,-107.8,180.0,top
C37,135.575,-105.4,180.0,top
C39,128.525,-117.7,180.0,top
C4,128.3,-99.9,180.0,top
C40,128.73,-113.5,180.0,top
C41,109.3,-83.52,270.0,top
C42,129.8,-105.12,90.0,top
C43,107.8,-84.45,270.0,top
C44,125.62,-109.7,0.0,top
C45,128.525,-120.2,180.0,top
C46,128.525,-115.2,180.0,top
C48,105.82,-85.8,0.0,top
C49,114.5,-84.28,270.0,top
C5,129.8,-98.48,90.0,top
C50,117.95,-80.0,0.0,top
C51,117.95,-77.9,0.0,top
C52,114.65,-86.05,0.0,top
C53,114.27,-81.075,180.0,top
C54,107.8,-81.6,90.0,top
C55,112.48,-87.675,0.0,top
C56,117.95,-82.2,0.0,top
C57,118.7,-85.175,270.0,top
C58,116.6,-85.175,270.0,top
C6,127.8,-98.48,270.0,top
C7,128.2,-102.3,270.0,top
C8,127.8,-94.4,90.0,top
C9,127.2,-102.3,270.0,top
CRX,136.285,-123.0,180.0,top
CTX,136.555,-129.4,180.0,top
D1,127.475,-126.165,0.0,top
D2,110.4,-94.57,180.0,top
D3,108.0,-101.75,270.0,top
D4,109.6,-127.6,270.0,top
D5,110.5585,-90.4565,0.0,top
EN,133.6,-97.46,0.0,top
IC1,129.994,-109.481,90.0,top
IMU,113.8,-96.7,180.0,top
J1,122.3,-127.2885,180.0,top
J2,104.84,-94.66,270.0,top
J3,127.63,-80.565,180.0,top
J4,104.75,-104.75,90.0,top
J5,141.01,-80.28,0.0,top
J6,141.04,-90.78,0.0,top
J7,141.05,-101.18,0.0,top
JP1,132.37,-122.75,0.0,top
L1,128.8,-98.445,90.0,top
L2,124.1,-102.085,270.0,top
L4,139.8,-114.9,180.0,top
L5,111.325,-76.3,0.0,top
MAG,115.6,-91.7,180.0,top
Q1,113.435,-116.8,90.0,top
Q2,119.3,-116.8,270.0,top
Q4,115.925,-109.5,270.0,top
Q6,110.085,-109.5,90.0,top
R1,128.8,-96.51,270.0,top
R10,130.15,-124.225,90.0,top
R11,110.1585,-92.2565,0.0,top
R12,110.0,-96.9,180.0,top
R13,110.0,-98.0,0.0,top
R14,136.1,-76.99,270.0,top
R15,106.2,-118.86,270.0,top
R16,104.8,-119.3,0.0,top
R17,127.2,-105.11,90.0,top
R18,130.8,-105.11,90.0,top
R19,125.6,-108.7,180.0,top
R2,116.3,-102.2,270.0,top
R20,125.1,-107.21,90.0,top
R21,125.59,-110.7,0.0,top
R22,128.2,-105.11,90.0,top
R23,107.7,-119.3,0.0,top
R24,117.79,-102.6,0.0,top
R25,117.79,-101.6,180.0,top
R26,134.59,-129.4,0.0,top
R27,134.39,-123.0,0.0,top
R28,142.35,-88.05,180.0,top
R29,142.35,-98.55,180.0,top
R3,127.8,-96.4,90.0,top
R30,142.38,-108.95,180.0,top
R31,131.0,-103.2,270.0,top
R32,109.3,-85.41,270.0,top
R33,115.7,-88.165,90.0,top
R34,116.7,-88.175,270.0,top
R35,114.7,-88.165,90.0,top
R36,114.26,-82.075,0.0,top
R37,109.74,-81.95,180.0,top
R38,110.0,-87.7,0.0,top
R39,104.775,-87.2,90.0,top
R4,118.74,-73.15,0.0,top
R40,106.21,-87.7,0.0,top
R41,108.1,-87.7,0.0,top
R42,106.2,-116.96,90.0,top
R43,103.8,-121.71,270.0,top
R44,104.8,-121.7,270.0,top
R45,109.0,-121.9,270.0,top
R46,110.2,-120.4,90.0,top
R47,109.6,-123.3,180.0,top
R48,110.5,-102.51,270.0,top
R49,109.5,-102.51,90.0,top
R5,129.5,-100.9,180.0,top
R50,116.3,-89.0,180.0,bottom
R51,115.25,-88.0,180.0,bottom
R6,118.88,-103.6,0.0,top
R7,114.51,-105.4,180.0,top
R8,131.81,-129.4,0.0,top
R9,130.15,-128.175,90.0,top
S1,140.355,-88.05,180.0,top
S2,140.405,-98.55,180.0,top
S3,140.455,-108.95,180.0,top
SP,132.75,-102.8,90.0,top
TXLED,116.815,-103.6,180.0,top
U1,122.5,-97.0,180.0,top
U10,111.9,-84.4,0.0,top
U2,134.975,-126.185,180.0,top
U3,108.8,-116.7,90.0,top
U4,109.25,-105.15,0.0,top
U5,104.1,-117.4,180.0,top
U6,106.9,-121.2,0.0,top
U9,117.0,-83.75,270.0,bottom
USBLED1,111.5,-97.42,270.0,top
Y1,123.5,-104.45,180.0,top
